well_id,well_name,timestamp,css_cycle_id,phase,reservoir_temperature,reservoir_pressure,oil_viscosity,oil_api,asphaltene_content,water_cut,steam_volume,steam_rate,injection_pressure,injection_duration,soak_time,production_start,production_cutoff,oil_rate_bopd,water_rate,total_fluid_rate,cumulative_oil,stroke_length,spm,vfd_setting,pump_efficiency,rod_load,pump_unsetting_event,rod_floating_event,rod_failure_event,energy_consumption,power,operating_cost,sor,energy_per_barrel,rod_floating_probability,failure_probability
BGW-01,Baghewala-01 (pad A),2024-01-01T00:00:00,1,injection,49.21,12.54,802.66,18.02,8.35,14.46,416.52,6.037,7.55,69.0,53.23,False,False,31.45,6.29,37.74,31.45,2.36,4.75,54.43,0.743,98.5,0,0,0,196.73,8.2,1064.91,1.5,6.256,0.758,0.546
BGW-01,Baghewala-01 (pad A),2024-01-02T00:00:00,1,injection,50.64,12.51,672.34,18.37,7.89,12.58,411.13,5.53,7.42,74.35,42.43,False,False,39.59,7.92,47.51,71.04,2.39,4.5,62.74,0.887,89.9,0,1,0,184.64,7.69,1049.98,1.5,4.664,0.552,0.366
BGW-01,Baghewala-01 (pad A),2024-01-03T00:00:00,1,injection,52.15,12.59,675.4,17.93,8.43,16.03,414.4,6.151,7.49,67.37,51.13,False,False,35.65,7.13,42.78,106.69,2.48,4.4,60.22,0.82,91.91,0,0,0,181.54,7.56,1057.77,1.5,5.092,0.566,0.386
BGW-01,Baghewala-01 (pad A),2024-01-04T00:00:00,1,soak,52.06,12.44,650.12,18.22,8.38,16.6,450.0,6.25,7.19,72.0,48.0,False,False,42.96,8.59,51.55,149.65,2.43,4.0,63.54,0.889,89.22,0,0,0,180.54,7.52,1146.66,1.5,4.203,0.521,0.375
BGW-01,Baghewala-01 (pad A),2024-01-05T00:00:00,1,soak,52.02,12.77,675.95,18.2,8.78,15.29,450.0,6.25,7.7,72.0,48.0,False,False,42.84,8.57,51.4,192.48,2.52,4.0,60.95,0.864,89.73,0,0,0,183.12,7.63,1146.97,1.5,4.275,0.556,0.399
BGW-01,Baghewala-01 (pad A),2024-01-06T00:00:00,1,soak,51.95,12.61,731.59,17.88,8.7,15.78,450.0,6.25,7.4,72.0,48.0,False,False,33.38,6.68,40.06,225.86,2.29,4.0,67.3,0.843,91.73,0,1,0,175.36,7.31,1146.04,1.5,5.253,0.636,0.455
BGW-01,Baghewala-01 (pad A),2024-01-07T00:00:00,1,production,51.86,12.51,662.68,18.34,8.48,16.0,481.84,6.692,8.02,72.0,48.0,True,False,46.8,9.36,56.16,272.67,2.42,6.22,63.87,0.806,98.12,0,0,0,200.59,8.36,1228.67,1.5,4.286,0.581,0.432
BGW-01,Baghewala-01 (pad A),2024-01-08T00:00:00,1,production,51.72,12.73,635.38,18.27,8.56,14.6,510.63,7.092,7.0,72.0,48.0,True,False,47.52,9.5,57.03,320.19,2.54,4.72,74.27,0.887,94.68,0,0,0,193.01,8.04,1299.74,1.5,4.061,0.53,0.443
BGW-01,Baghewala-01 (pad A),2024-01-09T00:00:00,1,production,51.62,12.31,715.76,18.06,8.82,16.61,452.12,6.28,7.75,72.0,48.0,True,False,41.0,8.2,49.21,361.19,2.41,5.41,71.25,0.753,96.49,0,0,0,186.57,7.77,1152.7,1.5,4.55,0.64,0.459
BGW-01,Baghewala-01 (pad A),2024-01-10T00:00:00,1,production,51.5,12.97,684.92,18.19,8.42,16.67,443.98,6.166,7.74,72.0,48.0,True,False,45.11,9.02,54.13,406.3,2.53,5.5,69.04,0.797,96.5,0,0,0,190.09,7.92,1132.77,1.5,4.214,0.601,0.438
BGW-01,Baghewala-01 (pad A),2024-01-11T00:00:00,1,production,51.49,12.81,693.19,18.18,8.59,15.41,431.09,5.987,7.44,72.0,48.0,True,False,39.79,7.96,47.75,446.1,2.41,5.21,66.26,0.785,97.27,0,0,0,197.17,8.22,1101.4,1.5,4.955,0.615,0.45
BGW-01,Baghewala-01 (pad A),2024-01-12T00:00:00,1,production,51.39,12.31,725.59,17.93,8.67,15.62,437.76,6.08,6.91,72.0,48.0,True,False,41.01,8.2,49.22,487.11,2.43,5.47,63.22,0.774,99.35,0,0,0,195.36,8.14,1117.85,1.5,4.763,0.666,0.516
BGW-01,Baghewala-01 (pad A),2024-01-13T00:00:00,1,production,51.31,11.75,712.35,17.93,8.78,16.08,458.6,6.369,7.29,72.0,48.0,True,False,37.11,7.42,44.53,524.22,2.35,6.11,61.95,0.792,97.38,0,0,0,201.59,8.4,1170.68,1.5,5.432,0.64,0.456
BGW-01,Baghewala-01 (pad A),2024-01-14T00:00:00,1,production,51.22,12.93,673.83,18.31,8.68,15.81,457.42,6.353,8.18,72.0,48.0,True,False,41.13,8.23,49.36,565.35,2.57,5.48,71.72,0.78,97.15,0,0,0,195.05,8.13,1166.95,1.5,4.742,0.591,0.393
BGW-01,Baghewala-01 (pad A),2024-01-15T00:00:00,1,production,51.17,12.36,660.24,18.47,8.77,14.97,475.15,6.599,7.39,72.0,48.0,True,False,40.03,8.01,48.03,605.38,2.43,5.04,68.69,0.868,93.08,0,0,0,185.89,7.75,1210.18,1.5,4.644,0.553,0.368
BGW-01,Baghewala-01 (pad A),2024-01-16T00:00:00,1,production,51.13,12.46,686.12,18.32,8.81,15.14,447.69,6.218,7.91,72.0,48.0,True,False,46.62,9.32,55.94,652.0,2.48,5.89,61.95,0.808,95.82,0,0,0,195.46,8.14,1142.68,1.5,4.193,0.599,0.435
BGW-01,Baghewala-01 (pad A),2024-01-17T00:00:00,1,production,51.13,12.88,778.84,17.67,8.54,17.78,463.08,6.432,8.7,72.0,48.0,True,False,34.24,6.85,41.09,686.24,2.33,5.52,54.88,0.761,98.41,0,0,0,195.25,8.14,1181.12,1.5,5.702,0.728,0.51
BGW-01,Baghewala-01 (pad A),2024-01-18T00:00:00,1,production,51.08,12.46,681.74,18.22,8.08,15.62,438.24,6.087,7.73,72.0,48.0,True,False,40.04,8.01,48.05,726.28,2.61,5.48,67.09,0.804,100.43,0,0,0,192.12,8.01,1118.66,1.5,4.798,0.617,0.466
BGW-01,Baghewala-01 (pad A),2024-01-19T00:00:00,1,production,51.07,12.59,693.92,18.12,8.42,16.08,442.04,6.139,7.71,72.0,48.0,True,False,39.97,7.99,47.97,766.25,2.5,5.65,69.07,0.785,97.64,0,0,0,189.96,7.91,1127.89,1.5,4.752,0.618,0.446
BGW-01,Baghewala-01 (pad A),2024-01-20T00:00:00,1,production,50.99,12.48,774.93,17.85,8.29,16.42,463.05,6.431,7.7,72.0,48.0,True,False,37.36,7.47,44.84,803.62,2.33,5.84,58.78,0.792,99.44,0,0,0,201.11,8.38,1181.76,1.5,5.383,0.728,0.531
BGW-01,Baghewala-01 (pad A),2024-01-21T00:00:00,1,production,50.93,12.37,715.66,17.99,8.51,15.56,482.31,6.699,6.76,72.0,48.0,True,False,38.66,7.73,46.39,842.27,2.56,5.62,64.7,0.802,96.76,0,0,0,195.32,8.14,1229.21,1.5,5.053,0.641,0.471
BGW-01,Baghewala-01 (pad A),2024-01-22T00:00:00,1,production,50.88,12.83,665.99,18.26,8.55,16.3,466.08,6.473,7.24,72.0,48.0,True,False,42.99,8.6,51.59,885.27,2.24,5.79,64.5,0.763,93.21,0,0,0,197.66,8.24,1188.93,1.5,4.597,0.561,0.437
BGW-01,Baghewala-01 (pad A),2024-01-23T00:00:00,1,production,50.76,12.67,788.81,17.8,8.39,17.03,433.09,6.015,7.14,72.0,48.0,True,False,39.85,7.97,47.83,925.12,2.44,5.37,70.13,0.764,99.94,0,0,0,193.54,8.06,1105.95,1.5,4.856,0.748,0.537
BGW-01,Baghewala-01 (pad A),2024-01-24T00:00:00,1,production,50.64,12.04,763.42,17.84,8.26,16.79,454.16,6.308,7.68,72.0,48.0,True,False,41.55,8.31,49.86,966.67,2.42,6.38,67.25,0.701,100.37,0,0,0,208.18,8.67,1160.39,1.5,5.01,0.719,0.531
BGW-01,Baghewala-01 (pad A),2024-01-25T00:00:00,1,production,50.5,12.64,852.44,17.51,8.63,15.15,438.74,6.094,7.54,72.0,48.0,True,False,35.69,7.14,42.83,1002.36,2.37,5.03,70.72,0.751,103.31,1,0,0,185.08,7.71,1119.06,1.5,5.186,0.845,0.637
BGW-01,Baghewala-01 (pad A),2024-01-26T00:00:00,1,production,50.47,12.19,774.89,17.79,8.5,15.52,485.64,6.745,7.3,72.0,48.0,True,True,32.63,6.53,39.15,1034.99,2.47,5.15,70.9,0.772,100.69,0,0,0,192.76,8.03,1237.24,1.5,5.908,0.735,0.523
BGW-01,Baghewala-01 (pad A),2024-01-27T00:00:00,1,production,50.33,12.5,724.16,18.11,8.33,15.58,432.53,6.007,7.58,72.0,48.0,True,True,31.43,6.29,37.71,1066.42,2.37,5.18,67.52,0.768,96.55,0,0,0,197.96,8.25,1105.08,1.5,6.299,0.65,0.445
BGW-01,Baghewala-01 (pad A),2024-01-28T00:00:00,1,production,50.23,12.84,740.15,18.19,8.48,15.67,510.29,7.087,7.32,72.0,48.0,True,True,41.22,8.24,49.46,1107.64,2.47,5.73,53.67,0.754,96.47,0,0,0,197.4,8.22,1299.42,1.5,4.789,0.67,0.451
BGW-01,Baghewala-01 (pad A),2024-01-29T00:00:00,1,production,50.15,12.08,770.07,17.89,8.7,16.45,460.24,6.392,7.67,72.0,48.0,True,True,32.25,6.45,38.7,1139.88,2.48,6.54,67.12,0.678,100.78,0,0,0,212.83,8.87,1176.14,1.5,6.6,0.731,0.572
BGW-01,Baghewala-01 (pad A),2024-01-30T00:00:00,2,production,48.53,12.84,972.04,17.25,8.55,16.03,461.93,6.416,7.91,72.0,48.0,True,True,29.39,5.88,35.27,1169.28,2.23,4.22,60.63,0.679,97.87,0,0,0,189.18,7.88,1177.52,1.5,6.436,0.95,0.658
BGW-01,Baghewala-01 (pad A),2024-01-31T00:00:00,2,injection,50.12,13.21,753.77,18.07,8.52,16.54,460.8,6.682,7.37,68.96,52.02,False,False,35.24,7.05,42.28,1204.51,2.38,4.15,66.71,0.801,94.95,0,0,0,185.25,7.72,1174.22,1.5,5.257,0.679,0.449
BGW-01,Baghewala-01 (pad A),2024-02-01T00:00:00,2,injection,51.49,12.75,732.33,18.0,8.23,14.6,499.6,8.928,7.22,55.96,51.61,False,False,36.92,7.38,44.31,1241.44,2.23,3.95,54.48,0.824,91.58,0,0,0,193.24,8.05,1272.19,1.5,5.233,0.636,0.435
BGW-01,Baghewala-01 (pad A),2024-02-02T00:00:00,2,injection,53.07,13.04,625.25,18.25,8.53,17.57,435.56,5.121,7.53,85.05,52.99,False,False,40.42,8.08,48.51,1281.86,2.44,4.41,67.67,0.898,88.52,0,0,0,184.12,7.67,1110.99,1.5,4.555,0.487,0.317
BGW-01,Baghewala-01 (pad A),2024-02-03T00:00:00,2,soak,53.05,12.31,678.05,17.89,8.73,15.89,450.0,6.25,7.56,72.0,48.0,False,False,39.73,7.95,47.67,1321.59,2.47,4.0,65.31,0.861,89.99,0,0,0,191.65,7.99,1148.0,1.5,4.824,0.56,0.376
BGW-01,Baghewala-01 (pad A),2024-02-04T00:00:00,2,soak,52.97,12.93,674.77,17.96,8.19,16.39,450.0,6.25,7.52,72.0,48.0,False,False,40.89,8.18,49.07,1362.48,2.55,4.0,60.43,0.909,90.62,0,0,0,187.96,7.83,1147.56,1.5,4.597,0.559,0.375
BGW-01,Baghewala-01 (pad A),2024-02-05T00:00:00,2,soak,52.87,11.94,712.4,17.84,8.62,18.19,450.0,6.25,7.9,72.0,48.0,False,False,43.35,8.67,52.02,1405.83,2.54,4.0,62.39,0.843,95.43,0,0,0,181.72,7.57,1146.81,1.5,4.192,0.63,0.481
BGW-01,Baghewala-01 (pad A),2024-02-06T00:00:00,2,production,52.75,12.16,646.63,18.18,8.31,18.01,462.28,6.421,7.54,72.0,48.0,True,False,47.78,9.56,57.33,1453.6,2.38,5.6,61.93,0.821,92.29,0,0,0,191.6,7.98,1178.7,1.5,4.01,0.532,0.345
BGW-01,Baghewala-01 (pad A),2024-02-07T00:00:00,2,production,52.64,12.65,733.4,17.69,8.5,17.39,451.71,6.274,8.17,72.0,48.0,True,False,38.05,7.61,45.66,1491.66,2.24,5.13,66.75,0.806,94.33,0,0,0,190.66,7.94,1152.15,1.5,5.01,0.651,0.449
BGW-01,Baghewala-01 (pad A),2024-02-08T00:00:00,2,production,52.57,12.25,697.87,17.86,8.63,18.13,459.78,6.386,7.27,72.0,48.0,True,False,41.06,8.21,49.28,1532.72,2.39,5.46,62.01,0.825,93.65,0,0,0,196.66,8.19,1173.05,1.5,4.789,0.603,0.431
BGW-01,Baghewala-01 (pad A),2024-02-09T00:00:00,2,production,52.5,11.82,644.97,18.16,8.65,15.74,416.86,5.79,7.63,72.0,48.0,True,False,42.81,8.56,51.37,1575.53,2.53,5.76,72.04,0.843,97.07,0,0,0,189.75,7.91,1064.92,1.5,4.432,0.554,0.432
BGW-01,Baghewala-01 (pad A),2024-02-10T00:00:00,2,production,52.43,12.36,753.01,17.57,8.21,17.09,396.34,5.505,7.54,72.0,48.0,True,False,38.56,7.71,46.27,1614.09,2.32,6.0,64.28,0.747,98.15,0,0,0,191.49,7.98,1013.83,1.5,4.966,0.695,0.496
BGW-01,Baghewala-01 (pad A),2024-02-11T00:00:00,2,production,52.38,12.26,596.2,18.47,8.77,17.36,431.44,5.992,7.11,72.0,48.0,True,False,45.87,9.17,55.05,1659.96,2.37,5.55,59.67,0.83,88.91,0,0,0,194.34,8.1,1101.91,1.5,4.236,0.452,0.289
BGW-01,Baghewala-01 (pad A),2024-02-12T00:00:00,2,production,52.3,12.8,680.53,17.91,8.44,16.31,446.62,6.203,7.08,72.0,48.0,True,False,42.77,8.55,51.32,1702.73,2.35,5.27,63.69,0.814,98.69,0,0,0,189.88,7.91,1139.33,1.5,4.44,0.607,0.484
BGW-01,Baghewala-01 (pad A),2024-02-13T00:00:00,2,production,52.18,12.52,664.11,18.23,8.3,17.23,425.15,5.905,7.31,72.0,48.0,True,False,43.87,8.77,52.64,1746.6,2.33,5.71,68.29,0.777,96.36,0,0,0,189.32,7.89,1085.6,1.5,4.316,0.574,0.45
BGW-01,Baghewala-01 (pad A),2024-02-14T00:00:00,2,production,52.12,13.01,762.5,17.7,8.27,19.69,480.54,6.674,7.79,72.0,48.0,True,False,47.27,9.45,56.72,1793.87,2.5,5.89,74.48,0.756,101.29,0,0,0,206.5,8.6,1226.12,1.5,4.369,0.722,0.552
BGW-01,Baghewala-01 (pad A),2024-02-15T00:00:00,2,production,52.04,12.62,678.67,18.03,8.59,16.2,464.87,6.457,7.1,72.0,48.0,True,False,39.72,7.94,47.67,1833.59,2.35,5.62,64.11,0.804,96.68,0,0,0,196.18,8.17,1185.73,1.5,4.939,0.594,0.457
BGW-01,Baghewala-01 (pad A),2024-02-16T00:00:00,2,production,51.91,12.6,676.26,18.06,8.35,18.44,489.42,6.797,7.44,72.0,48.0,True,False,45.51,9.1,54.62,1879.1,2.22,5.55,67.65,0.8,91.8,0,0,0,203.71,8.49,1248.0,1.5,4.476,0.567,0.415
BGW-01,Baghewala-01 (pad A),2024-02-17T00:00:00,2,production,51.78,12.31,645.33,18.3,8.77,17.22,448.59,6.23,7.93,72.0,48.0,True,False,45.62,9.12,54.75,1924.73,2.36,5.28,71.39,0.807,89.47,0,0,0,187.58,7.82,1143.99,1.5,4.112,0.517,0.314
BGW-01,Baghewala-01 (pad A),2024-02-18T00:00:00,2,production,51.74,12.83,688.6,18.15,8.47,18.89,452.97,6.291,7.62,72.0,48.0,True,False,39.84,7.97,47.81,1964.56,2.71,6.22,70.37,0.786,100.0,0,0,0,194.84,8.12,1155.81,1.5,4.891,0.623,0.46
BGW-01,Baghewala-01 (pad A),2024-02-19T00:00:00,2,production,51.66,12.53,671.41,18.24,8.89,15.91,404.16,5.613,7.57,72.0,48.0,True,False,36.72,7.34,44.07,2001.29,2.51,4.6,60.73,0.855,92.99,0,0,0,185.98,7.75,1032.72,1.5,5.065,0.567,0.413
BGW-01,Baghewala-01 (pad A),2024-02-20T00:00:00,2,production,51.54,12.27,683.74,18.26,8.12,16.76,452.65,6.287,6.54,72.0,48.0,True,False,47.05,9.41,56.46,2048.33,2.54,5.87,58.17,0.784,94.7,0,0,0,194.82,8.12,1155.0,1.5,4.141,0.591,0.418
BGW-01,Baghewala-01 (pad A),2024-02-21T00:00:00,2,production,51.49,12.34,646.12,18.41,8.86,19.05,467.28,6.49,7.7,72.0,48.0,True,False,41.18,8.24,49.42,2089.52,2.42,5.12,62.75,0.818,95.6,0,0,0,193.18,8.05,1191.38,1.5,4.691,0.548,0.427
BGW-01,Baghewala-01 (pad A),2024-02-22T00:00:00,2,production,51.46,12.37,776.85,17.71,8.45,16.51,460.09,6.39,7.22,72.0,48.0,True,False,47.15,9.43,56.58,2136.67,2.42,5.87,67.22,0.757,102.29,0,0,0,181.91,7.58,1172.05,1.5,3.858,0.745,0.557
BGW-01,Baghewala-01 (pad A),2024-02-23T00:00:00,2,production,51.43,12.18,686.6,18.25,8.34,17.35,455.4,6.325,7.73,72.0,48.0,True,False,40.09,8.02,48.1,2176.76,2.48,6.11,57.13,0.781,97.81,0,0,0,189.51,7.9,1161.24,1.5,4.728,0.61,0.457
BGW-01,Baghewala-01 (pad A),2024-02-24T00:00:00,2,production,51.38,12.39,750.7,17.86,8.82,15.77,498.61,6.925,7.32,72.0,48.0,True,False,37.92,7.58,45.51,2214.68,2.5,5.81,71.47,0.761,97.13,0,0,0,198.08,8.25,1270.29,1.5,5.223,0.687,0.503
BGW-01,Baghewala-01 (pad A),2024-02-25T00:00:00,2,production,51.35,12.89,652.48,18.23,8.43,16.36,473.75,6.58,6.8,72.0,48.0,True,True,39.99,8.0,47.98,2254.67,2.27,5.66,73.65,0.805,96.32,0,0,0,200.4,8.35,1208.43,1.5,5.012,0.56,0.419
BGW-01,Baghewala-01 (pad A),2024-02-26T00:00:00,2,production,51.26,12.35,808.21,17.6,8.35,17.36,435.31,6.046,7.41,72.0,48.0,True,True,40.95,8.19,49.14,2295.62,2.45,6.16,63.75,0.701,101.76,0,0,0,190.59,7.94,1111.13,1.5,4.654,0.782,0.566
BGW-01,Baghewala-01 (pad A),2024-02-27T00:00:00,2,production,51.16,12.51,784.64,17.62,8.63,17.08,440.86,6.123,7.28,72.0,48.0,True,True,36.14,7.23,43.37,2331.76,2.39,5.98,58.88,0.7,103.31,0,0,0,205.79,8.57,1126.84,1.5,5.694,0.76,0.559
