well_id,well_name,timestamp,css_cycle_id,phase,reservoir_temperature,reservoir_pressure,oil_viscosity,oil_api,asphaltene_content,water_cut,steam_volume,steam_rate,injection_pressure,injection_duration,soak_time,production_start,production_cutoff,oil_rate_bopd,water_rate,total_fluid_rate,cumulative_oil,stroke_length,spm,vfd_setting,pump_efficiency,rod_load,pump_unsetting_event,rod_floating_event,rod_failure_event,energy_consumption,power,operating_cost,sor,energy_per_barrel,rod_floating_probability,failure_probability
BGW-001,Baghewala Well 1,2024-01-01T00:00:00,1,injection,48.77,12.69,756.53,18.23,8.22,14.83,446.02,6.114,7.34,72.95,40.31,False,False,32.24,6.45,38.69,32.24,2.19,4.5,65.37,0.796,98.65,0,0,0,194.01,8.08,1138.33,1.5,6.018,0.701,0.513
BGW-001,Baghewala Well 1,2024-01-02T00:00:00,1,injection,50.38,12.17,662.95,18.55,8.26,14.99,530.71,6.908,8.03,76.83,45.84,False,False,36.39,7.28,43.67,68.63,2.27,4.56,55.71,0.852,86.45,0,0,0,194.67,8.11,1350.13,1.5,5.35,0.523,0.332
BGW-001,Baghewala Well 1,2024-01-03T00:00:00,1,injection,51.33,12.52,673.03,18.22,8.71,13.7,399.87,6.201,6.88,64.49,40.19,False,False,41.1,8.22,49.32,109.73,2.51,4.51,66.03,0.835,91.93,0,0,0,184.67,7.69,1021.84,1.5,4.493,0.563,0.364
BGW-001,Baghewala Well 1,2024-01-04T00:00:00,1,soak,51.32,12.72,669.8,18.37,8.54,15.91,450.0,6.25,8.02,72.0,48.0,False,False,36.3,7.26,43.56,146.03,2.39,4.0,66.69,0.881,88.29,0,0,0,179.75,7.49,1146.57,1.5,4.952,0.541,0.341
BGW-001,Baghewala Well 1,2024-01-05T00:00:00,1,soak,51.24,13.17,608.95,18.68,8.58,14.02,450.0,6.25,7.54,72.0,48.0,False,False,36.47,7.29,43.76,182.5,2.41,4.0,66.61,0.89,88.58,0,0,0,189.15,7.88,1147.7,1.5,5.186,0.467,0.307
BGW-001,Baghewala Well 1,2024-01-06T00:00:00,1,soak,51.14,12.78,788.46,17.85,8.59,13.38,450.0,6.25,7.75,72.0,48.0,False,False,35.51,7.1,42.62,218.01,2.47,4.0,68.79,0.774,97.07,0,0,0,182.11,7.59,1146.85,1.5,5.128,0.733,0.538
BGW-001,Baghewala Well 1,2024-01-07T00:00:00,1,production,51.02,12.53,710.5,18.07,8.63,15.74,437.84,6.081,8.05,72.0,48.0,True,False,37.99,7.6,45.59,256.0,2.44,4.45,66.04,0.855,98.72,0,0,0,175.72,7.32,1115.68,1.5,4.625,0.644,0.476
BGW-001,Baghewala Well 1,2024-01-08T00:00:00,1,production,51.01,12.55,821.14,17.49,8.76,13.97,433.7,6.024,7.95,72.0,48.0,True,False,35.13,7.03,42.16,291.13,2.43,5.64,63.04,0.73,100.34,0,0,0,203.15,8.46,1108.63,1.5,5.783,0.791,0.531
BGW-001,Baghewala Well 1,2024-01-09T00:00:00,1,production,50.95,12.98,739.79,17.99,8.64,15.25,466.55,6.48,7.18,72.0,48.0,True,False,41.42,8.28,49.71,332.55,2.65,5.16,67.4,0.766,98.52,0,0,0,183.7,7.65,1188.41,1.5,4.435,0.68,0.522
BGW-001,Baghewala Well 1,2024-01-10T00:00:00,1,production,50.91,12.37,767.94,17.71,8.32,15.28,443.38,6.158,7.06,72.0,48.0,True,False,38.58,7.72,46.29,371.13,2.5,5.11,65.83,0.759,102.22,0,0,0,191.4,7.97,1131.42,1.5,4.961,0.734,0.56
BGW-001,Baghewala Well 1,2024-01-11T00:00:00,1,production,50.89,12.56,810.05,17.59,8.47,15.74,470.14,6.53,7.05,72.0,48.0,True,False,41.82,8.36,50.19,412.95,2.48,5.4,64.35,0.725,99.66,0,0,0,183.71,7.65,1197.39,1.5,4.393,0.773,0.565
BGW-001,Baghewala Well 1,2024-01-12T00:00:00,1,production,50.83,12.63,717.54,18.08,8.64,17.83,472.69,6.565,7.69,72.0,48.0,True,False,42.83,8.57,51.4,455.79,2.41,6.21,65.78,0.76,97.84,0,0,0,198.05,8.25,1205.49,1.5,4.624,0.649,0.498
BGW-001,Baghewala Well 1,2024-01-13T00:00:00,1,production,50.78,11.88,727.33,18.07,8.7,15.42,423.74,5.885,8.5,72.0,48.0,True,False,34.48,6.9,41.38,490.27,2.35,5.45,71.49,0.799,93.99,0,0,0,194.96,8.12,1082.75,1.5,5.654,0.642,0.445
