well_id,well_name,timestamp,css_cycle_id,phase,reservoir_temperature,reservoir_pressure,oil_viscosity,oil_api,asphaltene_content,water_cut,steam_volume,steam_rate,injection_pressure,injection_duration,soak_time,production_start,production_cutoff,oil_rate_bopd,water_rate,total_fluid_rate,cumulative_oil,stroke_length,spm,vfd_setting,pump_efficiency,rod_load,pump_unsetting_event,rod_floating_event,rod_failure_event,energy_consumption,power,operating_cost,sor,energy_per_barrel,rod_floating_probability,failure_probability
BGW-01,Baghewala-01 (pad A),2024-01-01T00:00:00,1,injection,48.96,12.21,711.0,18.4,8.29,14.89,453.71,6.355,7.53,71.39,51.47,False,False,31.68,6.34,38.02,31.68,2.23,4.73,67.25,0.793,91.09,0,0,0,191.83,7.99,1157.3,1.5,6.055,0.607,0.403
BGW-01,Baghewala-01 (pad A),2024-01-02T00:00:00,1,injection,50.7,12.17,677.57,18.19,8.66,14.4,487.68,6.315,7.38,77.22,42.34,False,False,38.18,7.64,45.81,69.86,2.26,4.31,73.98,0.859,90.89,0,0,0,198.2,8.26,1242.98,1.5,5.192,0.564,0.399
BGW-01,Baghewala-01 (pad A),2024-01-03T00:00:00,1,injection,52.15,12.61,585.69,18.53,8.6,16.22,431.8,6.227,8.06,69.34,48.18,False,False,41.3,8.26,49.56,111.16,2.4,4.29,62.71,0.914,87.27,0,0,0,180.7,7.53,1101.19,1.5,4.375,0.431,0.323
BGW-01,Baghewala-01 (pad A),2024-01-04T00:00:00,1,soak,52.14,12.43,679.59,18.21,8.46,15.82,450.0,6.25,7.51,72.0,48.0,False,False,39.01,7.8,46.82,150.17,2.54,4.0,64.54,0.848,91.08,0,0,0,177.62,7.4,1146.31,1.5,4.553,0.567,0.393
BGW-01,Baghewala-01 (pad A),2024-01-05T00:00:00,1,soak,52.05,12.07,631.78,18.22,8.41,14.56,450.0,6.25,7.34,72.0,48.0,False,False,37.6,7.52,45.11,187.77,2.56,4.0,69.98,0.927,88.64,0,0,0,184.67,7.69,1147.16,1.5,4.912,0.495,0.33
BGW-01,Baghewala-01 (pad A),2024-01-06T00:00:00,1,soak,51.95,12.88,641.66,18.41,8.4,15.43,450.0,6.25,7.22,72.0,48.0,False,False,37.71,7.54,45.25,225.48,2.24,4.0,62.83,0.904,86.06,0,0,0,182.47,7.6,1146.9,1.5,4.839,0.495,0.348
BGW-01,Baghewala-01 (pad A),2024-01-07T00:00:00,1,production,51.95,12.39,764.27,17.55,8.45,14.66,466.36,6.477,6.91,72.0,48.0,True,False,39.43,7.89,47.32,264.91,2.5,5.53,65.1,0.727,98.95,0,0,0,196.04,8.17,1189.43,1.5,4.971,0.713,0.512
BGW-01,Baghewala-01 (pad A),2024-01-08T00:00:00,1,production,51.95,11.93,720.46,17.97,8.19,15.21,451.63,6.273,7.66,72.0,48.0,True,False,40.37,8.07,48.44,305.28,2.31,6.11,59.73,0.766,97.6,0,0,0,199.94,8.33,1153.06,1.5,4.953,0.651,0.45
BGW-01,Baghewala-01 (pad A),2024-01-09T00:00:00,1,production,51.9,12.52,680.85,18.1,8.82,16.78,424.68,5.898,8.02,72.0,48.0,True,False,35.42,7.08,42.51,340.7,2.44,4.96,63.54,0.802,91.64,0,0,0,177.7,7.4,1083.02,1.5,5.017,0.572,0.382
BGW-01,Baghewala-01 (pad A),2024-01-10T00:00:00,1,production,51.92,12.48,689.24,17.97,8.04,16.8,471.25,6.545,7.85,72.0,48.0,True,False,43.99,8.8,52.78,384.69,2.28,5.09,66.84,0.821,93.89,0,0,0,194.62,8.11,1201.49,1.5,4.425,0.594,0.429
BGW-01,Baghewala-01 (pad A),2024-01-11T00:00:00,1,production,51.76,12.09,847.29,17.2,8.29,14.84,443.58,6.161,7.45,72.0,48.0,True,False,33.09,6.62,39.7,417.77,2.44,5.19,61.6,0.762,100.63,0,0,0,198.96,8.29,1132.81,1.5,6.013,0.825,0.59
BGW-01,Baghewala-01 (pad A),2024-01-12T00:00:00,1,production,51.67,12.5,740.93,17.85,8.53,16.21,463.05,6.431,7.86,72.0,48.0,True,False,39.36,7.87,47.23,457.13,2.49,4.98,69.32,0.807,99.03,0,0,0,187.2,7.8,1180.1,1.5,4.756,0.684,0.517
BGW-01,Baghewala-01 (pad A),2024-01-13T00:00:00,1,production,51.62,12.51,658.04,18.35,8.6,14.9,444.64,6.176,7.07,72.0,48.0,True,False,43.7,8.74,52.44,500.83,2.47,5.17,61.22,0.813,96.32,0,0,0,194.4,8.1,1134.93,1.5,4.448,0.567,0.407
BGW-01,Baghewala-01 (pad A),2024-01-14T00:00:00,1,production,51.56,12.7,771.18,17.71,8.77,18.29,429.8,5.969,7.04,72.0,48.0,True,False,33.53,6.71,40.24,534.36,2.3,6.23,66.56,0.736,98.98,0,0,0,198.41,8.27,1098.31,1.5,5.917,0.721,0.522
BGW-01,Baghewala-01 (pad A),2024-01-15T00:00:00,1,production,51.49,11.94,790.91,17.73,8.31,15.67,449.84,6.248,7.1,72.0,48.0,True,False,34.41,6.88,41.29,568.77,2.34,5.29,54.18,0.752,101.18,0,0,0,199.44,8.31,1148.54,1.5,5.796,0.757,0.559
BGW-01,Baghewala-01 (pad A),2024-01-16T00:00:00,1,production,51.4,13.1,716.52,17.95,8.78,16.29,448.33,6.227,7.36,72.0,48.0,True,False,36.91,7.38,44.3,605.69,2.43,6.56,63.75,0.73,101.47,0,0,0,208.86,8.7,1145.89,1.5,5.658,0.669,0.473
BGW-01,Baghewala-01 (pad A),2024-01-17T00:00:00,1,production,51.31,12.94,741.31,17.88,8.63,14.5,434.82,6.039,8.1,72.0,48.0,True,False,36.77,7.35,44.13,642.46,2.51,6.0,67.78,0.729,101.49,0,0,0,190.48,7.94,1109.9,1.5,5.18,0.697,0.531
